serial_number,start_date,end_date,duration,event,smart_5_raw,smart_9_raw,smart_187_raw,smart_197_raw,smart_198_raw,temp_mean,temp_max,temp_std,delta_smart_5_raw,delta_smart_196_raw,slope_smart_5_raw,slope_smart_196_raw,pending_present,age_years,log_age,health_risk_score
2140E5D8E1D6,2025-01-01,2025-03-31,89,0,0.0,26063.355555555554,0.0,0.0,0.0,35.233333333333334,41.0,2.50355303075002,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1D7,2025-01-01,2025-03-31,89,0,0.0,26237.67777777778,0.0,0.0,0.0,36.81111111111111,43.0,2.1545530314736134,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1DA,2025-01-01,2025-03-31,89,0,0.0,26076.966666666667,0.0,0.0,0.0,36.58888888888889,42.0,2.1233853706048507,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1DB,2025-01-01,2025-03-31,89,0,0.0,25975.333333333332,0.0,0.0,0.0,41.21111111111111,43.0,0.45933392463557027,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1DC,2025-01-01,2025-03-31,89,0,0.0,22901.62222222222,0.0,0.0,0.0,34.82222222222222,41.0,3.164307113124873,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1DD,2025-01-01,2025-03-31,89,0,0.0,26199.21111111111,0.0,0.0,0.0,35.6,41.0,2.9694743268426427,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1E3,2025-01-01,2025-03-31,89,0,0.0,25217.522222222222,0.0,0.0,0.0,35.5,37.0,0.7340905181847657,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1F0,2025-01-01,2025-03-31,89,0,0.0,27163.722222222223,0.0,0.0,0.0,34.111111111111114,36.0,0.5258737584975205,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1F1,2025-01-01,2025-03-31,89,0,0.0,27361.166666666668,0.0,0.0,0.0,39.0,40.0,0.33333333333329546,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1F3,2025-01-01,2025-03-31,89,0,0.0,28415.71111111111,0.0,0.0,0.0,37.522222222222226,40.0,2.7456137859735708,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
